"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
12/02/11,"Fri.","Anaheim",3,"Philadelphia",4,"OT",15975
12/02/11,"Fri.","Edmonton",6,"Columbus",3,,16839
12/02/11,"Fri.","Colorado",3,"St. Louis",2,"SO",15966
12/02/11,"Fri.","Chicago",5,"NY Islanders",4,"SO",21463
12/02/11,"Fri.","Minnesota",4,"New Jersey",2,,17310
12/02/11,"Fri.","Buffalo",1,"Detroit",4,,18690
12/03/11,"Sat.","San Jose",3,"Florida",5,,17562
12/03/11,"Sat.","Edmonton",3,"Calgary",5,,16839
12/03/11,"Sat.","Dallas",4,"NY Islanders",5,,14423
12/03/11,"Sat.","Phoenix",2,"Philadelphia",4,,14913
12/03/11,"Sat.","Nashville",2,"Buffalo",3,,17113
12/03/11,"Sat.","St. Louis",2,"Chicago",5,,19150
12/03/11,"Sat.","Tampa Bay",2,"NY Rangers",4,,19204
12/03/11,"Sat.","Winnipeg",4,"New Jersey",2,,15004
12/03/11,"Sat.","Carolina",2,"Pittsburgh",3,,17696
12/03/11,"Sat.","Washington",3,"Ottawa",2,"OT",18506
12/03/11,"Sat.","Boston",4,"Toronto",1,,17565
12/03/11,"Sat.","Los Angeles",1,"Montreal",2,,18118
12/04/11,"Sun.","Vancouver",5,"Calgary",1,,18890
12/04/11,"Sun.","Anaheim",3,"Minnesota",5,,14002
12/04/11,"Sun.","Colorado",4,"Detroit",2,,17014
12/05/11,"Mon.","Chicago",3,"Phoenix",4,"SO",21079
12/05/11,"Mon.","Florida",5,"Washington",4,,16337
12/05/11,"Mon.","Ottawa",4,"Tampa Bay",2,,18742
12/05/11,"Mon.","Pittsburgh",1,"Boston",3,,18585
12/05/11,"Mon.","NY Rangers",2,"Toronto",4,,18200
12/06/11,"Tue.","San Jose",1,"Minnesota",2,,17562
12/06/11,"Tue.","Anaheim",3,"Los Angeles",2,,14419
12/06/11,"Tue.","Vancouver",6,"Colorado",0,,18890
12/06/11,"Tue.","Calgary",7,"Carolina",6,,19289
12/06/11,"Tue.","Winnipeg",2,"Boston",1,,15004
12/06/11,"Tue.","Nashville",2,"Phoenix",3,,15638
12/06/11,"Tue.","St. Louis",3,"Detroit",2,,19150
12/06/11,"Tue.","Montreal",2,"Columbus",3,"SO",21273
12/06/11,"Tue.","NY Islanders",5,"Tampa Bay",1,,9486
12/06/11,"Tue.","Toronto",2,"New Jersey",3,"OT",19513
12/07/11,"Wed.","Edmonton",3,"Carolina",5,,16839
12/07/11,"Wed.","Buffalo",4,"Philadelphia",5,"OT",18690
12/07/11,"Wed.","Ottawa",3,"Washington",5,,17771
12/08/11,"Thu.","San Jose",5,"Dallas",2,,17562
12/08/11,"Thu.","Los Angeles",2,"Minnesota",4,,18118
12/08/11,"Thu.","Calgary",3,"Colorado",2,,19289
12/08/11,"Thu.","St. Louis",4,"Anaheim",2,,18596
12/08/11,"Thu.","Detroit",5,"Phoenix",2,,20066
12/08/11,"Thu.","Montreal",3,"Vancouver",4,"SO",21273
12/08/11,"Thu.","Columbus",3,"Nashville",4,"OT",13852
12/08/11,"Thu.","Philadelphia",3,"Pittsburgh",2,,19936
12/08/11,"Thu.","NY Rangers",2,"Tampa Bay",3,"SO",18200
12/08/11,"Thu.","NY Islanders",2,"Chicago",3,"OT",10711
12/08/11,"Thu.","New Jersey",5,"Ottawa",4,"SO",13743
12/08/11,"Thu.","Boston",0,"Florida",2,,17565
12/09/11,"Fri.","Edmonton",4,"Colorado",1,,16839
12/09/11,"Fri.","Winnipeg",4,"Carolina",2,,15004
